
1 3346.94 1.92 85.95 735.26

2 3254.45 2.05 547.05 711.89

3 3123.45 3.71 1109.52 686.81

4 3124.96 8.17 1621.60 691.92

5 3112.94 29.71 2116.17 2686.29

6 2938.10 287.35 2551.62 2674.77

7 3385.21 634.24 2940.79 2711.97

8 3297.57 850.67 3359.57 2705.40

9 2921.85 1140.33 3683.15 4022.85

10 2702.45 1461.41 3984.91 4018.59

11 3283.90 1589.76 4215.71 4019.67

12 3401.20 1810.00 4449.65 4023.35

13 2984.25 2123.00 4729.50 4957.90

14 3488.50 2279.00 4883.69 4926.00

15 3463.64 2473.82 5081.09 4924.55

16 3457.08 2673.85 5266.08 4938.69

17 3402.83 2879.25 5392.75 5593.58

18 2841.20 3165.70 5611.80 5647.20

19 3134.58 3319.83 5728.50 5621.67

20 2534.00 3551.75 5866.25 5641.00

21 2875.64 3653.55 5981.82 6112.09

22 2647.38 3903.12 6136.12 6147.38

23 1837.50 4197.00 6308.67 6243.67

24 3022.75 4157.38 6291.88 6103.38

25 2796.83 4363.50 6376.83 6491.50

26 3194.25 4474.75 6421.50 6436.62

27 3214.83 4666.50 6531.50 6454.83

28 2981.57 4882.43 6619.71 6478.29

29 3412.50 4997.33 6632.83 6680.83

30 3032.43 5256.43 6740.71 6738.43

31 3984.75 5253.75 6636.25 6584.00

32 2670.67 5595.33 6885.67 6790.33

33 3674.40 5557.20 6781.60 6812.40

34 3460.00 5753.25 6858.25 6855.75

35 3493.00 5889.75 6891.00 6856.75

36 3239.50 6047.50 6964.00 6906.00

37 3274.50 6119.00 6991.50 7017.50

38 4063.50 6067.50 6905.50 6900.00

39 3328.50 6268.00 7037.00 7017.50

40 3366.50 6345.50 7057.00 7019.50

41 3405.50 6425.00 7074.50 7092.50

42 3091.67 6582.00 7144.33 7145.00

43 4198.50 6507.00 6986.50 6969.50

44 4240.50 6592.50 6997.00 6971.50

45 2510.00 6946.00 7289.00 7298.00

46 6056.00 6413.00 6728.00 6721.00

47 6101.00 6458.00 6734.00 6722.00

49 6146.00 6503.00 6743.00 6743.00

50 6194.00 6551.00 6747.00 6743.00

51 6243.00 6600.00 6750.00 6744.00

52 6293.00 6650.00 6752.00 6746.00

53 6344.00 6701.00 6753.00 6753.00

55 6395.00 6752.00 6752.00 6752.00
