
1 276.00 9.00 2.00 58.00

2 501.50 5.00 46.50 80.00

3 92.33 4.33 35.33 19.67

4 1.00 1.00 27.75 1.00

5 1.60 1.60 72.80 483.80

6 2.17 2.17 172.00 403.33

7 2.71 2.71 233.14 346.00

8 38.62 5.25 384.12 307.38

9 2.89 2.89 343.56 444.22

10 3.50 177.70 348.50 399.90

11 4.09 181.55 349.27 363.73

12 4.67 185.67 347.42 333.67

13 5.23 189.85 343.38 391.08

14 5.79 194.86 338.00 363.21

15 25.07 194.40 345.80 339.60

16 5.94 194.81 325.75 317.94

17 6.53 195.59 318.94 344.29

18 7.11 196.06 311.94 325.22

19 7.68 195.21 304.84 308.21

20 8.25 196.85 297.85 292.95

21 8.81 191.29 290.86 305.57

22 9.36 193.09 283.95 291.73

23 9.91 192.35 277.26 279.13

24 21.29 188.58 273.96 266.71

25 10.04 190.16 264.32 273.68

26 10.62 188.62 258.15 263.19

27 49.37 184.11 253.70 250.33

28 20.93 187.07 247.89 243.29

29 47.86 183.76 241.24 243.24

30 20.47 186.93 236.27 237.13

31 20.77 187.68 230.68 229.55

32 21.09 185.69 225.22 222.47

33 21.42 182.97 219.88 221.76

34 21.76 182.44 214.74 215.26

35 22.11 181.11 209.74 209.17

36 22.47 179.97 204.94 203.44

37 22.84 177.05 200.27 201.38

38 62.84 167.76 189.95 189.92

39 22.62 171.82 191.36 191.08

40 23.02 169.48 187.18 186.38

41 23.44 167.29 183.12 183.88

42 23.86 165.26 179.21 179.52

43 57.40 158.53 170.00 169.63

44 57.07 156.89 166.43 165.84

45 56.78 155.36 162.98 163.18

46 132.65 140.41 147.26 147.11

47 130.81 138.40 144.28 144.02

49 126.43 133.71 138.61 138.61

50 124.88 132.02 135.94 135.86

51 123.41 130.41 133.35 133.24

52 122.02 128.88 130.85 130.73

53 120.70 127.43 128.42 128.42

55 117.27 123.76 123.76 123.76
